"","Name","RMSE","R_squared","Year","Site","Combo"
"1","SB4yrPS",0.148825968347937,0.828826211817597,"4","SB","PS"
"2","SB4yrST",0.206692467992048,0.64139707848615,"4","SB","ST"
"3","SB4yrTP",0.141591982458767,0.660698227242997,"4","SB","TP"
"4","HB4yrPS",0.177400401108094,0.478795576664727,"4","HB","PS"
"5","HB4yrST",0.189054798640078,0.417680839305386,"4","HB","ST"
"6","HB4yrTP",0.208543737623766,0.319845751101175,"4","HB","TP"
"7","KP4yrPS",0.135862732267537,0.728500316217018,"4","KP","PS"
"8","KP4yrST",0.119818711631964,0.904394891792632,"4","KP","ST"
"9","KP4yrTP",0.196680759378299,0.366665149061934,"4","KP","TP"
"10","SB5yrPS",0.0915682339795423,0.960052182034724,"5","SB","PS"
"11","SB5yrST",0.174169461915975,0.626959627665886,"5","SB","ST"
"12","SB5yrTP",0.13787659992013,0.67800814387599,"5","SB","TP"
"13","HB5yrPS",0.209598511234552,0.516008288638629,"5","HB","PS"
"14","HB5yrST",0.154814223684139,0.667599270353992,"5","HB","ST"
"15","HB5yrTP",0.175427217254159,0.585732057215646,"5","HB","TP"
"16","KP5yrPS",0.162820013513898,0.489410298260056,"5","KP","PS"
"17","KP5yrST",0.118765562398868,0.885238250592003,"5","KP","ST"
"18","KP5yrTP",0.143170210334624,0.654682719985465,"5","KP","TP"
"19","SB6yrPS",0.0805585404574339,0.971687122010988,"6","SB","PS"
"20","SB6yrST",0.104570220425796,0.906652937325603,"6","SB","ST"
"21","SB6yrTP",0.0542414957997916,0.973344793790883,"6","SB","TP"
"22","HB6yrPS",0.207615519877712,0.586005642607545,"6","HB","PS"
"23","HB6yrST",0.181344043404007,0.650715584015798,"6","HB","ST"
"24","HB6yrTP",0.226060212326068,0.504166822047336,"6","HB","TP"
"25","KP6yrPS",0.113027049903686,0.794548862480417,"6","KP","PS"
"26","KP6yrST",0.196002983897629,0.620198522487994,"6","KP","ST"
"27","KP6yrTP",0.108909260175271,0.853856579639987,"6","KP","TP"
"28","SB7yrPS",0.0870900174339219,0.967700072941686,"7","SB","PS"
"29","SB7yrST",0.104846604426552,0.918949862153147,"7","SB","ST"
"30","SB7yrTP",0.0571693151310152,0.974534388486348,"7","SB","TP"
"31","HB7yrPS",0.192635261819964,0.651608726766931,"7","HB","PS"
"32","HB7yrST",0.204772565329698,0.535042901377452,"7","HB","ST"
"33","HB7yrTP",0.145606065750065,0.818765268538935,"7","HB","TP"
"34","KP7yrPS",0.0968245221417192,0.930259614375359,"7","KP","PS"
"35","KP7yrST",0.1342897362406,0.836007706015599,"7","KP","ST"
"36","KP7yrTP",0.0940257493092444,0.909044764684683,"7","KP","TP"
"37","SB8yrPS",0.077643815788465,0.96813870364412,"8","SB","PS"
"38","SB8yrST",0.132303446619039,0.854870757229313,"8","SB","ST"
"39","SB8yrTP",0.103453430988695,0.900800136402686,"8","SB","TP"
"40","HB8yrPS",0.177926073075151,0.706642191972326,"8","HB","PS"
"41","HB8yrST",0.228096182418449,0.434457331432065,"8","HB","ST"
"42","HB8yrTP",0.101451619739469,0.921291389630438,"8","HB","TP"
"43","KP8yrPS",0.117084041144166,0.919485219578627,"8","KP","PS"
"44","KP8yrST",0.102155292517967,0.927802774937025,"8","KP","ST"
"45","KP8yrTP",0.0767156820093908,0.961315140923005,"8","KP","TP"
